model,label,attempts,valid,correct,accuracy_all,accuracy_valid,api_errors,invalid_responses,median_ms,p95_ms,median_all_attempts_ms,measured_cost_usd,cost_per_1000,identical_repeat_cases,case_count,paired_both_correct,pair_repeats
jev,Jev 1.13,180,180,170,0.9444444444444444,0.9444444444444444,0,0,439.24685404635966,572.753082960844,439.24685404635966,0.004010076,0.022278199999999995,59,60,27,36
gpt,GPT-6 Luna,180,180,170,0.9444444444444444,0.9444444444444444,0,0,2766.576125053689,4168.393041938543,2766.576125053689,0.0077984,0.04332444444444444,58,60,33,36
claude,Claude Haiku 4.5,180,180,177,0.9833333333333333,0.9833333333333333,0,0,1212.4786246567965,1589.3324580974877,1212.4786246567965,0.086007,0.47781666666666667,60,60,33,36
gemini,Gemini 3.8 Flash,180,180,180,1.0,1.0,0,0,1617.048583459109,3050.27970764786,1617.048583459109,0.064005,0.35558333333333336,60,60,36,36
deepseek,DeepSeek V4.1 Flash,180,176,176,0.9777777777777777,1.0,4,0,464.7808545269072,2151.6633750870824,461.0253334976733,0.0134286,0.07460333333333334,56,60,34,36
